                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4266,                 2.5778,                 1.5145,                0.53496,                0.46504,                0.45688,                0.22197,                 1.6615,                 2.4772,                 1.8441,              0.0033138,              0.0033138,              0.0033138
                      2,                 1.4688,                  2.061,                 1.5341,                0.64784,                 0.4177,                 0.4829,                0.21373,                 1.7507,                 2.3856,                 1.9483,               0.006634,               0.006634,               0.006634
                      3,                 1.5759,                 2.0791,                 1.6119,                0.36418,                 0.3684,                0.27215,                0.11188,                 2.0813,                 3.1932,                 2.2914,               0.009941,               0.009941,               0.009941
                      4,                 1.6851,                 2.1809,                 1.7311,                0.40117,                0.30391,                0.26534,                 0.1091,                 2.0948,                 2.7088,                 2.2902,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.7137,                 2.1567,                 1.7687,                0.42867,                0.30933,                0.29287,                0.12397,                 1.9684,                 3.0359,                 2.2647,              0.0099406,              0.0099406,              0.0099406
                      6,                 1.6684,                 2.0503,                 1.7309,                0.46233,                0.35908,                0.35527,                 0.1586,                 2.0185,                 2.4149,                  2.209,              0.0099208,              0.0099208,              0.0099208
                      7,                 1.6687,                  1.993,                  1.724,                0.52876,                0.34173,                0.38172,                0.15946,                 1.9463,                 2.3166,                 2.1528,               0.009901,               0.009901,               0.009901
                      8,                 1.6405,                 1.9668,                 1.7225,                0.57297,                0.45268,                0.45107,                0.20209,                 1.8733,                 2.0755,                 2.0806,              0.0098812,              0.0098812,              0.0098812
                      9,                 1.6396,                 1.9393,                 1.7089,                0.49115,                0.36786,                0.37756,                 0.1616,                 1.8837,                 2.3333,                 2.1171,              0.0098614,              0.0098614,              0.0098614
                     10,                 1.6028,                 1.8804,                 1.6934,                0.59841,                0.42989,                0.46452,                0.20712,                 1.8506,                 2.0243,                 2.0791,              0.0098416,              0.0098416,              0.0098416
                     11,                 1.6042,                 1.8639,                   1.68,                0.48862,                0.46363,                0.44111,                0.19388,                 1.9036,                 2.0891,                 2.0867,              0.0098218,              0.0098218,              0.0098218
                     12,                 1.5713,                 1.8014,                 1.6632,                0.53585,                0.48109,                0.46568,                  0.205,                 1.8233,                 2.1289,                 1.9985,               0.009802,               0.009802,               0.009802
                     13,                 1.5674,                 1.7686,                  1.656,                0.66143,                0.45844,                0.51182,                0.23192,                 1.8057,                 1.8734,                 2.0206,              0.0097822,              0.0097822,              0.0097822
                     14,                 1.5617,                 1.7469,                 1.6406,                0.61017,                0.47013,                0.51034,                0.23516,                  1.848,                 1.9033,                  1.995,              0.0097624,              0.0097624,              0.0097624
                     15,                 1.5533,                 1.7073,                 1.6238,                0.61286,                0.50895,                0.54131,                0.25422,                 1.7712,                 1.8191,                 1.9571,              0.0097426,              0.0097426,              0.0097426
                     16,                 1.5174,                 1.6872,                 1.6176,                0.65978,                0.45439,                0.52013,                 0.2444,                 1.7709,                 1.8034,                 1.9682,              0.0097228,              0.0097228,              0.0097228
                     17,                  1.534,                 1.6905,                 1.6283,                0.61516,                0.54006,                0.56301,                0.27484,                 1.7528,                 1.7037,                 1.9226,               0.009703,               0.009703,               0.009703
                     18,                 1.5148,                 1.6488,                 1.6072,                0.66979,                 0.5432,                 0.5709,                0.26122,                 1.7959,                 1.7453,                 1.9643,              0.0096832,              0.0096832,              0.0096832
                     19,                 1.5085,                 1.6423,                 1.6034,                0.62841,                 0.5521,                0.57178,                0.28004,                 1.7312,                 1.7028,                 1.9215,              0.0096634,              0.0096634,              0.0096634
                     20,                 1.5087,                 1.6197,                 1.5926,                0.62302,                0.53221,                0.56231,                0.27394,                 1.7252,                 1.8073,                 1.8951,              0.0096436,              0.0096436,              0.0096436
                     21,                 1.4835,                 1.5976,                 1.5848,                0.66414,                0.53759,                0.55937,                0.26991,                  1.811,                  1.702,                 2.0113,              0.0096238,              0.0096238,              0.0096238
                     22,                 1.4756,                 1.5902,                 1.5844,                0.71666,                0.50633,                0.56898,                0.29311,                 1.7077,                  1.631,                 1.9238,               0.009604,               0.009604,               0.009604
                     23,                 1.4741,                 1.5643,                 1.5814,                0.73304,                0.50694,                0.59761,                0.29897,                 1.7052,                 1.6344,                 1.8926,              0.0095842,              0.0095842,              0.0095842
                     24,                 1.4785,                 1.5821,                 1.5626,                0.64847,                0.55172,                0.57888,                0.29492,                 1.6901,                 1.6572,                 1.9071,              0.0095644,              0.0095644,              0.0095644
                     25,                 1.4566,                 1.5375,                 1.5586,                0.64668,                0.53347,                0.57574,                0.28386,                 1.6828,                 1.6476,                 1.8802,              0.0095446,              0.0095446,              0.0095446
                     26,                 1.4688,                 1.5573,                 1.5667,                0.68631,                0.53545,                0.58576,                 0.2884,                 1.7266,                 1.6008,                 1.9063,              0.0095248,              0.0095248,              0.0095248
                     27,                 1.4433,                 1.5368,                 1.5577,                0.68649,                0.55394,                0.60556,                0.29932,                  1.729,                 1.5538,                 1.9178,               0.009505,               0.009505,               0.009505
                     28,                 1.4464,                 1.5053,                 1.5607,                0.70077,                0.53859,                0.59751,                0.30643,                 1.6876,                 1.5874,                 1.8604,              0.0094852,              0.0094852,              0.0094852
                     29,                 1.4189,                 1.4913,                 1.5399,                0.64738,                0.54109,                0.56766,                0.28032,                 1.7126,                 1.6752,                 1.9142,              0.0094654,              0.0094654,              0.0094654
                     30,                  1.422,                 1.4861,                 1.5465,                0.70077,                0.57432,                0.60407,                0.29733,                 1.7149,                 1.5444,                 1.9053,              0.0094456,              0.0094456,              0.0094456
                     31,                  1.417,                  1.459,                 1.5259,                0.62712,                0.56345,                0.57407,                0.28965,                 1.7197,                 1.6099,                 1.9333,              0.0094258,              0.0094258,              0.0094258
                     32,                  1.406,                 1.4478,                 1.5261,                0.67678,                0.55676,                0.60177,                0.30813,                 1.6768,                 1.5984,                 1.8785,               0.009406,               0.009406,               0.009406
                     33,                 1.4437,                 1.4596,                 1.5337,                 0.6789,                0.55116,                0.58668,                0.29324,                 1.7924,                 1.6182,                 1.9618,              0.0093862,              0.0093862,              0.0093862
                     34,                 1.4037,                 1.4423,                  1.531,                0.68391,                0.50023,                0.55782,                0.27366,                 1.7789,                 1.6795,                 1.9798,              0.0093664,              0.0093664,              0.0093664
                     35,                 1.4107,                 1.4308,                 1.5283,                0.70224,                0.55986,                0.61401,                 0.3183,                 1.7026,                 1.5462,                 1.8858,              0.0093466,              0.0093466,              0.0093466
                     36,                 1.4094,                 1.4055,                  1.505,                0.70375,                0.57434,                0.62787,                0.31509,                 1.6581,                  1.546,                   1.86,              0.0093268,              0.0093268,              0.0093268
                     37,                 1.3841,                 1.3944,                 1.5123,                 0.7272,                0.55101,                0.62834,                0.31318,                 1.6651,                 1.5487,                 1.8391,               0.009307,               0.009307,               0.009307
                     38,                 1.3846,                 1.3936,                 1.5012,                 0.6745,                0.58707,                 0.6306,                0.32491,                 1.6588,                 1.4904,                  1.822,              0.0092872,              0.0092872,              0.0092872
                     39,                 1.3804,                 1.3745,                    1.5,                0.69297,                0.58315,                0.62724,                0.31825,                 1.6891,                 1.4297,                  1.846,              0.0092674,              0.0092674,              0.0092674
                     40,                 1.3809,                 1.3728,                 1.4992,                0.72089,                0.59286,                0.64293,                0.32714,                 1.6413,                 1.4519,                  1.817,              0.0092476,              0.0092476,              0.0092476
                     41,                 1.3606,                 1.3497,                 1.4889,                0.66154,                0.56866,                0.60525,                0.31132,                  1.665,                 1.4869,                 1.8387,              0.0092278,              0.0092278,              0.0092278
                     42,                 1.3789,                 1.3583,                 1.4931,                0.70431,                0.59956,                0.62509,                0.32109,                 1.6937,                 1.4559,                 1.8478,               0.009208,               0.009208,               0.009208
                     43,                 1.3505,                 1.3261,                 1.4706,                0.68041,                0.58154,                0.62519,                0.32058,                 1.6466,                 1.4475,                 1.8298,              0.0091882,              0.0091882,              0.0091882
